client_trade_id,instrument_name,trade_side,entry_price,entry_time,exit_price,exit_time,mae,mfe,result_ticks,trade_duration,take_profit_price,stop_loss_price,signal,account_name,daily_pnl,quantity,strategy_name
7a49930b-9524-44fd-9122-b26d5ee90e37,XAUUSD,Long,3348.9,2025-04-24 20:50:01.589449+00,3346.76,2025-04-24 20:52:16.792729+00,20.3999999999996,0,-21,2m 15s,3355.4,3346.9,,Sim101,-5.76999999999998,1,Manual
730147ad-6f97-4c06-badb-39b020cd410d,XAUUSD,Short,3305.82,2025-04-25 07:46:38.643821+00,3306.38,2025-04-25 07:46:59.101862+00,7.10000000000036,13.0999999999995,-5,0m 20s,0,0,,Simforex,-0.559999999999945,1,Manual
20dbe51b-7534-466e-bfd7-de7d5be22d0e,XAUUSD,Short,3297.33,2025-04-25 08:12:46.858239+00,3297.5,2025-04-25 08:12:55.053412+00,24.3000000000029,1.50000000000091,-1,0m 8s,0,0,,Simforex,-0.170000000000073,1,Manual
772a96ea-0604-49bb-b75a-b4bec971da76,XAUUSD,Long,3437.5,2025-04-22 14:34:23.279865+00,3437.49,2025-04-22 14:34:48.100419+00,12199.999999998,2600.00000000218,-1,0m 24s,0,0,,Sim101,-1.18000000002166,1,Manual
b2d2613d-03fc-4e73-b7cc-85cb4c438242,XAUUSD,Long,3298.4,2025-04-23 16:46:26.330925+00,3299.88,2025-04-23 16:47:21.016034+00,23.0999999999995,18.6999999999989,14,0m 54s,3398.4,3273.4,,Sim101,10.0000000000045,1,Manual
b0a31b46-99f2-4f70-8b11-e59d2230e99e,XAUUSD,Long,3294.98,2025-04-23 14:49:46.384033+00,3295.28,2025-04-23 14:49:56.512582+00,28.100000000004,9.69999999999345,2,0m 10s,0,0,,Sim101,-520.100000000002,10,Manual
9aff73fd-8208-43d3-9fdc-6d0f8a3d73f1,XAUUSD,Long,3338.41,2025-04-24 08:47:26.342704+00,3337.54,2025-04-24 08:47:42.101412+00,15,9.40000000000055,-8,0m 15s,3438.41,3313.41,,Sim101,-3.03999999999996,2,Manual
0af93802-f379-49b1-b3c4-c3d8dc68bbd2,XAUUSD,Long,3298.32,2025-04-23 16:44:18.962664+00,3298.08,2025-04-23 16:44:56.30307+00,24.399999999996,10.5000000000018,-2,0m 37s,0,0,,Sim101,-4.79999999999563,2,Manual
0ac04180-6b91-4d79-95f3-b666e2e22edc,XAUUSD,Long,3339.56,2025-04-24 08:49:05.960338+00,3339.1,2025-04-24 08:49:09.122342+00,20.9999999999991,0,-4,0m 3s,3439.56,3314.56,,Sim101,-3.5,1,Manual
7e2d15df-b966-402d-99e3-4d136f58cc95,XAUUSD,Long,3346.38,2025-04-24 20:35:01.545771+00,3344.65,2025-04-24 20:36:14.078924+00,22.0000000000027,0,-17,1m 12s,3352.88,3344.38,,Sim101,-3.63000000000011,1,Manual
a3cf3e33-dcf1-4860-9654-0a6be4c9cb10,XAUUSD,Long,3436.45,2025-04-22 14:33:47.757975+00,3436.27,2025-04-22 14:33:49.012006+00,5599.99999999945,22400.0000000024,-17,0m 1s,0,0,,Sim101,-0.179999999999836,1000,Manual
